CLIENTE|513|Laura González|lauragonzález@email.com|923998069
CLIENTE|3|Juan González|juangonzález@email.com|930152292
CLIENTE|516|Carlos Martín|carlosmartín@email.com|947818925
CLIENTE|6|Luis Martín|luismartín@email.com|921061466
CLIENTE|519|Laura Pérez|laurapérez@email.com|995710056
CLIENTE|9|Carlos Rodríguez|carlosrodríguez@email.com|984271592
CLIENTE|522|Luis Díaz|luisdíaz@email.com|925583153
CLIENTE|12|Ana López|analópez@email.com|934762151
CLIENTE|525|Luis García|luisgarcía@email.com|983537174
CLIENTE|15|Juan Sánchez|juansánchez@email.com|922261194
CLIENTE|528|Juan García|juangarcía@email.com|991876570
CLIENTE|18|Ana López|analópez@email.com|911598369
CLIENTE|531|Juan Díaz|juandíaz@email.com|976371225
CLIENTE|21|Carmen Martín|carmenmartín@email.com|947183485
CLIENTE|534|Carlos Sánchez|carlossánchez@email.com|979633367
CLIENTE|24|Juan Sánchez|juansánchez@email.com|931959941
CLIENTE|537|María Rodríguez|maríarodríguez@email.com|960940052
CLIENTE|27|Carlos García|carlosgarcía@email.com|909853511
CLIENTE|540|Ana González|anagonzález@email.com|948033325
CLIENTE|30|María García|maríagarcía@email.com|977392343
CLIENTE|543|Carmen Rodríguez|carmenrodríguez@email.com|938286548
CLIENTE|33|Laura Díaz|lauradíaz@email.com|922829431
CLIENTE|546|Pedro Pérez|pedropérez@email.com|999275180
CLIENTE|36|Carlos González|carlosgonzález@email.com|920770540
CLIENTE|549|Carlos López|carloslópez@email.com|994232473
CLIENTE|39|Carmen Sánchez|carmensánchez@email.com|911034038
CLIENTE|552|Carmen Martín|carmenmartín@email.com|956140550
CLIENTE|42|Laura Rodríguez|laurarodríguez@email.com|953208586
CLIENTE|555|Luis Rodríguez|luisrodríguez@email.com|968356475
CLIENTE|45|Ana Sánchez|anasánchez@email.com|962620546
CLIENTE|558|Carmen González|carmengonzález@email.com|993932546
CLIENTE|48|Laura García|lauragarcía@email.com|943992440
CLIENTE|561|Carmen Sánchez|carmensánchez@email.com|963034096
CLIENTE|51|Pedro García|pedrogarcía@email.com|952529724
CLIENTE|564|María López|maríalópez@email.com|966120150
CLIENTE|54|Ana Pérez|anapérez@email.com|955952190
CLIENTE|567|Ana Sánchez|anasánchez@email.com|913567090
CLIENTE|57|Carlos Rodríguez|carlosrodríguez@email.com|948281468
CLIENTE|570|Luis González|luisgonzález@email.com|998731419
CLIENTE|60|Pedro González|pedrogonzález@email.com|987661672
CLIENTE|573|Juan Martín|juanmartín@email.com|967920710
CLIENTE|63|Carlos Sánchez|carlossánchez@email.com|963501401
CLIENTE|576|Ana García|anagarcía@email.com|944461794
CLIENTE|66|Juan Rodríguez|juanrodríguez@email.com|912022494
CLIENTE|579|Luis Díaz|luisdíaz@email.com|951453024
CLIENTE|69|Carlos García|carlosgarcía@email.com|989056294
CLIENTE|582|Carmen Sánchez|carmensánchez@email.com|950452332
CLIENTE|72|Carlos Díaz|carlosdíaz@email.com|947080577
CLIENTE|585|María Rodríguez|maríarodríguez@email.com|963470954
CLIENTE|75|María López|maríalópez@email.com|933846387
CLIENTE|588|Pedro Rodríguez|pedrorodríguez@email.com|906372606
CLIENTE|78|Pedro García|pedrogarcía@email.com|989913750
CLIENTE|591|Ana Sánchez|anasánchez@email.com|935402988
CLIENTE|81|Ana Sánchez|anasánchez@email.com|927703304
CLIENTE|594|Luis López|luislópez@email.com|907733595
CLIENTE|84|Laura Pérez|laurapérez@email.com|971779897
CLIENTE|597|Laura Pérez|laurapérez@email.com|988109454
CLIENTE|87|Pedro Pérez|pedropérez@email.com|934714155
CLIENTE|600|Carmen Díaz|carmendíaz@email.com|924242259
CLIENTE|90|Luis García|luisgarcía@email.com|973649719
CLIENTE|603|Juan García|juangarcía@email.com|984593537
CLIENTE|93|Juan González|juangonzález@email.com|936812790
CLIENTE|606|Juan González|juangonzález@email.com|925847809
CLIENTE|96|María López|maríalópez@email.com|945603576
CLIENTE|609|Laura Díaz|lauradíaz@email.com|926734340
CLIENTE|99|Ana López|analópez@email.com|999825648
CLIENTE|612|María López|maríalópez@email.com|949691162
CLIENTE|102|Carmen López|carmenlópez@email.com|920141267
CLIENTE|615|Juan Rodríguez|juanrodríguez@email.com|900698634
CLIENTE|105|Juan García|juangarcía@email.com|904311723
CLIENTE|618|Luis Rodríguez|luisrodríguez@email.com|944415336
CLIENTE|108|Pedro González|pedrogonzález@email.com|994697777
CLIENTE|621|Pedro González|pedrogonzález@email.com|969039105
CLIENTE|111|Juan Sánchez|juansánchez@email.com|985444149
CLIENTE|624|María García|maríagarcía@email.com|900004959
CLIENTE|114|Pedro Pérez|pedropérez@email.com|948230693
